sku,title,description
ELEC-001,Wireless Noise-Cancelling Headphones,Over-ear headphones with active noise cancellation, 30h battery, and foldable design.
APRL-002,Men's Slim Fit Oxford Shirt,100% cotton button-down shirt available in 12 colors. Machine washable. Sizes XS-3XL.
HOME-003,Bamboo Cutting Board Set,Set of 3 premium bamboo cutting boards with juice grooves. Dishwasher safe.
BEAU-004,Vitamin C Brightening Serum,30ml face serum with 15% vitamin C, hyaluronic acid, and niacinamide. All skin types.
FOOD-005,Cold Brew Coffee Concentrate,32oz organic cold brew concentrate. Makes 16 cups. No preservatives.
ELEC-006,Portable Bluetooth Speaker,IPX7 waterproof speaker with 360 surround sound and 12h playtime. Compact size.
APRL-007,Women's High-Waist Yoga Pants,4-way stretch leggings with side pockets and moisture-wicking fabric. Sizes XS-XL.
HOME-008,Essential Oil Diffuser,300ml ultrasonic aromatherapy diffuser with 7 LED color options and auto shut-off.
BEAU-009,Natural Beard Balm,60ml beard balm with shea butter, argan oil, and cedar scent. Softens and conditions.
FOOD-010,Organic Green Tea Matcha Powder,100g ceremonial grade matcha from Uji Japan. Vibrant green color and umami flavor.
